ticket_id,phase,priority,module_or_crosscut,title,depends_on,owner_suggested,estimate_days,acceptance_criteria,status
QW-01,Quick Wins,P0,Crosscut,Unify status badges and action hierarchy,,Frontend/WPF,2,"All major screens use one badge dictionary; destructive actions visually separated and no duplicate primary CTA per section.",Implemented
QW-02,Quick Wins,P0,Crosscut,Inline validation standard + blocking summary,"QW-01",Frontend/WPF,3,"Field validation appears on blur; blocking summary appears only on submit; applies to Students/Teachers/Enrollment forms.",Implemented
QW-03,Quick Wins,P0,Enrollment,Reason code capture for governed decisions,"QW-02",Backend+Frontend,3,"Approve/Return/Reject/Waitlist/Cancel cannot commit without required reason code where matrix requires.",Implemented
QW-04,Quick Wins,P1,Tables,Persistent search/filter/sort presets,"QW-01",Frontend/WPF,3,"Students/Teachers/Enrollment/Reports remember last filter and sort within session.",Implemented
QW-05,Quick Wins,P1,Dashboard,"Operational warning cards (requirements, waitlist, failures)","QW-01",Frontend+Backend,3,"Dashboard shows pending requirements, waitlist pressure, and latest backup/restore failure state.",Implemented
QW-06,Quick Wins,P1,Audit,Audit payload completeness validator,"QW-03",Backend,2,"Governed actions log actor/action/entity/result/reason where required; missing fields rejected or flagged.",Implemented
QW-07,Quick Wins,P1,Operations,Preflight gate for restore and rollover execute buttons,"QW-03",Frontend+Backend,2,"Execute disabled until preflight pass + required acknowledgment/typed confirm for Tier3.",Implemented
ME-01,Medium,P0,Shell,Convert module interactions to consistent list-detail workspace,"QW-01",Frontend/WPF,5,"Students/Teachers/Enrollment/Operations use consistent list-detail interaction; reduced modal stacking.",Implemented
ME-02,Medium,P0,Enrollment,Enrollment review workbench (queue + detail + decision panel),"QW-03;ME-01",Frontend+Backend,6,"Decision actions occur in single workbench; next-item action available; stale-data conflict shown inline.",Implemented
ME-03,Medium,P0,Requirements,Unified requirement checklist component,"QW-02",Frontend+Backend,5,"Checklist statuses consistent (Missing/Submitted/Verified/Rejected/Expired) and shown in Student + Enrollment contexts.",Implemented
ME-04,Medium,P1,Archive,Dependency impact preview before archive/restore,"QW-07",Backend+Frontend,4,"Archive/restore confirmation shows dependent records count and blocking reasons before commit.",Implemented
ME-05,Medium,P1,Reports,Saved presets + run history integration,"QW-04",Frontend+Backend,4,"Users can save filter presets and view run/export history for report executions.",Implemented
ME-06,Medium,P1,Enrollment,Queue aging indicators and SLA visuals,"ME-02",Frontend,3,"Enrollment queue rows display age; configurable warning thresholds shown with visual severity.",Implemented
ME-07,Medium,P1,Maintenance,Restore conflict and post-restore forced session refresh,"QW-07",Backend+Frontend,3,"Restore path blocks on preflight incompatibility and forces re-login/cache refresh after successful restore.",Implemented
SR-01,Structural,P0,Enrollment,Implement explicit enrollment state machine service,"ME-02;QW-03",Backend,8,"All enrollment transitions are policy-driven; forbidden transitions blocked; transition history immutable.",Implemented
SR-02,Structural,P0,Security,Permission boundary layer for future role expansion,"QW-06",Backend,6,"Action policy keys exist for all governed operations; current SUPERADMIN pass-through maintained.",Implemented
SR-03,Structural,P0,Maintenance,Shared preflight framework (restore + rollover + future critical ops),"QW-07;ME-07",Backend,7,"Preflight pipeline reusable with pass/fail/check details and integration hooks for UI gating.",Implemented
SR-04,Structural,P1,Analytics,Operational metrics dashboard service,"QW-05;SR-01",Backend+Frontend,8,"Dashboard supports trend metrics: queue aging, decision reversals, waitlist pressure, failed critical ops.",Implemented
SR-05,Structural,P1,Crosscut,Exception queue architecture for edge cases,"ME-02;ME-04;SR-01",Backend+Frontend,7,"Concurrency conflicts/dependency blocks/preflight failures route into managed exception queue with assignment status.",Implemented
SR-06,Structural,P1,Data,Correlation/request-id propagation for governed actions,"QW-06",Backend,4,"All governed actions persist correlation ID for traceability across audit and operation logs.",Implemented
