action_key,module,operation_type,risk_level,confirmation_tier,typed_confirmation_required,reason_code_required,allowed_role_now,future_role_boundary,audit_required,audit_payload_minimum,rollback_strategy,rollback_time_window,preflight_required,dependency_check_required,concurrency_check_required,idempotency_required,session_invalidation_required,ui_pattern,default_state_on_failure
login_success,Login,Auth,Low,Tier0,No,No,SUPERADMIN,Auth* roles,Yes,"actor,timestamp,action,result",None,N/A,No,No,No,No,No,Inline form,No state change
login_failed,Login,Auth,Medium,Tier0,No,No,SUPERADMIN,Auth* roles,Yes,"actor,timestamp,action,result,attempt_count",Auto lockout policy,N/A,No,No,No,No,No,Inline error + lockout banner,Lockout counter increment
change_password,TopBar,Security,Medium,Tier1,No,No,SUPERADMIN,Role owner + Security Admin,Yes,"actor,entity,user_id,timestamp,result",Revert by reset flow,24h,No,No,No,No,No,Modal dialog,Old password remains
create_student,Students,Create,Medium,Tier1,No,No,SUPERADMIN,Registrar,Yes,"actor,entity,entity_id,before_after,timestamp",Soft-delete draft,24h,Yes,No,Yes,Yes,No,In-page form,Persist draft only
update_student,Students,Update,Medium,Tier1,No,No,SUPERADMIN,Registrar,Yes,"actor,entity,entity_id,before_after,timestamp",Versioned restore,24h,No,No,Yes,Yes,No,In-page form,No commit
archive_student,Students,Destructive,High,Tier2,No,Yes,SUPERADMIN,Registrar + Data Manager,Yes,"actor,entity,entity_id,reason_code,before_after,timestamp",Restore action,30d,Yes,Yes,Yes,Yes,No,Confirmation dialog,Remain active
restore_student,Students,Recovery,High,Tier2,No,Yes,SUPERADMIN,Registrar + Data Manager,Yes,"actor,entity,entity_id,reason_code,before_after,timestamp",Re-archive action,24h,Yes,Yes,Yes,Yes,No,Confirmation dialog,Remain archived
reset_student_account,Students,Security,High,Tier2,No,Yes,SUPERADMIN,Registrar + Security Admin,Yes,"actor,target_user,reason_code,timestamp,result",Temporary token invalidation immediate,N/A,No,No,Yes,Yes,Yes,Confirmation dialog,Credentials unchanged
create_teacher,Teachers,Create,Medium,Tier1,No,No,SUPERADMIN,HR/Registrar,Yes,"actor,entity,entity_id,before_after,timestamp",Soft-delete draft,24h,Yes,No,Yes,Yes,No,In-page form,Persist draft only
update_teacher,Teachers,Update,Medium,Tier1,No,No,SUPERADMIN,HR/Registrar,Yes,"actor,entity,entity_id,before_after,timestamp",Versioned restore,24h,No,No,Yes,Yes,No,In-page form,No commit
archive_teacher,Teachers,Destructive,High,Tier2,No,Yes,SUPERADMIN,HR/Registrar + Data Manager,Yes,"actor,entity,entity_id,reason_code,before_after,timestamp",Restore action,30d,Yes,Yes,Yes,Yes,No,Confirmation dialog,Remain active
reset_teacher_password,Teachers,Security,High,Tier2,No,Yes,SUPERADMIN,Security Admin,Yes,"actor,target_user,reason_code,timestamp,result",Password reset again,N/A,No,No,Yes,Yes,Yes,Confirmation dialog,Credentials unchanged
submit_enrollment,Enrollment,Workflow,High,Tier1,No,No,SUPERADMIN,Admissions,Yes,"actor,entity,entity_id,status_from_to,timestamp",Set Draft and reopen,24h,Yes,Yes,Yes,Yes,No,In-page workbench,Remain draft
approve_enrollment,Enrollment,Workflow Finalize,Critical,Tier2,No,Yes,SUPERADMIN,Admissions + Registrar,Yes,"actor,entity,entity_id,status_from_to,reason_code,precheck_snapshot,timestamp",Return to Under Review if reversible,4h,Yes,Yes,Yes,Yes,No,Decision panel + confirm,Remain under review
return_enrollment,Enrollment,Workflow Decision,High,Tier2,No,Yes,SUPERADMIN,Admissions + Registrar,Yes,"actor,entity,entity_id,status_from_to,reason_code,correction_list,timestamp",Resubmit flow,N/A,Yes,No,Yes,Yes,No,Decision panel + confirm,Remain under review
reject_enrollment,Enrollment,Workflow Decision,Critical,Tier2,No,Yes,SUPERADMIN,Admissions + Registrar,Yes,"actor,entity,entity_id,status_from_to,reason_code,timestamp",Reopen by governed override only,72h,Yes,No,Yes,Yes,No,Decision panel + confirm,Remain under review
